CoM ID,Common Name,Scientific Name,Genus,Family,Diameter Breast Height,Year Planted,Date Planted,Age Description,Useful Life Expectency,Useful Life Expectency Value,Precinct,Located in,UploadDate,CoordinateLocation,Latitude,Longitude,Easting,Northing
1518238,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,,2012.0,04/09/2012,,,,,Park,24/08/2019,"(-37.795663891010776, 144.91635965276078)",-37.795663891010776,144.91635965276078,316545.35,5814811.26
1064903,Californian Live Oak,Quercus agrifolia,Quercus,Fagaceae,3.0,2006.0,10/01/2006,Juvenile,61+ years,80.0,,Park,24/08/2019,"(-37.82629740051354, 144.97414317128394)",-37.82629740051354,144.97414317128394,321707.17,5811523.86
1045847,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,,1998.0,12/03/1998,,,,,Park,24/08/2019,"(-37.78924377088815, 144.95665364148346)",-37.78924377088815,144.95665364148346,320077.85,5815602.02
1036197,Hoop Pine,Araucaria cunninghamii,Araucaria,Araucariaceae,70.0,1998.0,26/10/1998,Mature,6-10 years (>50% canopy),10.0,,Park,24/08/2019,"(-37.839461197212245, 144.9783354299021)",-37.839461197212245,144.9783354299021,322107.79,5810071.12
1455331,Lemon Scented Gum,Corymbia citriodora,Corymbia,Myrtaceae,,2010.0,27/08/2010,,,,,Park,24/08/2019,"(-37.82712026107666, 144.97231601122743)",-37.82712026107666,144.97231601122743,321548.33,5811429.06
1663410,Manna Gum,Eucalyptus viminalis,Eucalyptus,Myrtaceae,,2017.0,18/05/2017,,,,,Park,24/08/2019,"(-37.793401170916994, 144.95079260679597)",-37.793401170916994,144.95079260679597,319571.83,5815129.39
1766347,Cimmaron Ash,Fraxinus pennsylvanica,Fraxinus,Oleaceae,,2019.0,02/07/2019,,,,,Street,24/08/2019,"(-37.80988142014176, 144.970916006651)",-37.80988142014176,144.970916006651,321383.55,5813339.31
1509785,Small-leaved Fig,Ficus obliqua,Ficus,Moraceae,,2012.0,07/06/2012,,,,,Park,24/08/2019,"(-37.816212408927306, 144.9382464814821)",-37.8162124089273,144.93824648148208,318522.91,5812573.81
1036123,Purple Branched Elm,Ulmus x hollandica,Ulmus,Ulmaceae,77.0,1998.0,26/10/1998,Mature,6-10 years (>50% canopy),10.0,,Park,24/08/2019,"(-37.83797300296751, 144.97806289575243)",-37.83797300296751,144.97806289575243,322080.23,5810235.74
1758109,Black Wattle,Acacia melanoxylon,Acacia,Fabaceae,,2019.0,29/05/2019,,,,,Park,24/08/2019,"(-37.793277499654096, 144.95399927765683)",-37.793277499654096,144.95399927765683,319853.9,5815149.3
1055487,Willow Bottlebrush,Callistemon salignus,Callistemon,Myrtaceae,23.0,1999.0,25/01/1999,Semi-Mature,11-20 years,20.0,,Park,24/08/2019,"(-37.7809843472574, 144.95163496138156)",-37.7809843472574,144.95163496138156,319615.81,5816508.86
1053642,Black Wattle,Acacia melanoxylon,Acacia,Fabaceae,23.0,1999.0,13/01/1999,Semi-Mature,11-20 years,20.0,,Park,24/08/2019,"(-37.78448691313543, 144.95524721649937)",-37.78448691313543,144.95524721649937,319942.45,5816127.16
1046382,Yellow Box,Eucalyptus melliodora,Eucalyptus,Myrtaceae,,1998.0,12/07/1998,,,,,Park,24/08/2019,"(-37.788262737469694, 144.95195247550822)",-37.788262737469694,144.95195247550822,319661.47,5815701.82
1604358,Drooping sheoak,Allocasuarina verticillata,Allocasuarina,Casuarinaceae,,2015.0,21/08/2015,,,,,Park,24/08/2019,"(-37.783431983847926, 144.9407378227166)",-37.783431983847926,144.94073782271659,318662.06,5816216.17
1582890,Flame Tree,Brachychiton acerifolius,Brachychiton,Malvaceae,,2015.0,18/05/2015,,,,,Park,24/08/2019,"(-37.82759568639412, 144.95476682833893)",-37.82759568639412,144.9547668283389,320004.86,5811342.62
1061508,Weeping Myrtle,Syzygium floribundum,Syzygium,Myrtaceae,15.0,1900.0,02/01/2000,Semi-Mature,31-60 years,60.0,,Street,24/08/2019,"(-37.80924272487117, 144.95908238408865)",-37.809242724871176,144.95908238408862,320340.2,5813387.49
1522912,Drooping sheoak,Allocasuarina verticillata,Allocasuarina,Casuarinaceae,,,,,,,,Park,24/08/2019,"(-37.78552854845911, 144.94323779960865)",-37.78552854845911,144.94323779960862,318887.35,5815988.37
1286948,Ironbark,Eucalyptus sideroxylon,Eucalyptus,Myrtaceae,26.0,,,Semi-Mature,31-60 years,60.0,,Park,24/08/2019,"(-37.786473381326466, 144.9597161473009)",-37.78647338132647,144.95971614730092,320340.83,5815915.33
1492190,Moreton Bay Fig,Ficus macrophylla,Ficus,Moraceae,,2011.0,09/11/2011,,,,,Park,24/08/2019,"(-37.837750283941254, 144.98008172510447)",-37.83775028394125,144.98008172510447,322257.36,5810264.3
1734732,Sandpaper Fig,Ficus coronata,Ficus,Moraceae,,2018.0,09/05/2018,,,,,Park,24/08/2019,"(-37.80227552236036, 144.9141458409983)",-37.80227552236036,144.91414584099832,316366.79,5814073.24
1047674,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,,1998.0,12/11/1998,,,,,Park,24/08/2019,"(-37.79041234062813, 144.94447926566104)",-37.79041234062813,144.94447926566102,319008.6,5815448.84
1527702,Silver Wattle,Acacia dealbata,Acacia,Fabaceae,,,,,,,,Park,24/08/2019,"(-37.79434960619079, 144.95223500901065)",-37.79434960619079,144.95223500901062,319701.15,5815026.93
